HS746T	SRR8615322	ACH-000616
HS751T	SRR8615319	ACH-000165
HS766T	SRR8615320	ACH-000178
HS819T	SRR8615325	ACH-000224
HS821T	SRR8615326	ACH-000526
HS822T	SRR8615323	ACH-000229
HS834T	SRR8615324	ACH-000275
HS839T	SRR8615327	ACH-000180
HS840T	SRR8615328	ACH-000284
HS852T	SRR8615882	ACH-000274
HS863T	SRR8615881	ACH-000119
HS870T	SRR8615884	ACH-000340
HS888T	SRR8615883	ACH-000154
HS895T	SRR8615886	ACH-000043
HS934T	SRR8615885	ACH-000194
HS936T	SRR8615888	ACH-000801
HS939T	SRR8615887	ACH-000814
HS940T	SRR8615890	ACH-000135
HS944T	SRR8615889	ACH-000632
HSC2	SRR8616040	ACH-000472
HSC3	SRR8616041	ACH-000778
HSC4	SRR8616042	ACH-000546
HT1080	SRR8616043	ACH-000054
HT115	SRR8616044	ACH-000986
HT1197	SRR8616045	ACH-000547
HT1376	SRR8616046	ACH-000724
HT144	SRR8616047	ACH-000322
HT29	SRR8616032	ACH-000552
HT55	SRR8616033	ACH-000926
HT	SRR8615667	ACH-000914
HUCCT1	SRR8615666	ACH-000976
HUG1N	SRR8615665	ACH-000239
HUH1	SRR8615664	ACH-000475
HUH28	SRR8615663	ACH-000808
HUH6	SRR8615662	ACH-000671
HUH7	SRR8615661	ACH-000480
HUNS1	SRR8615660	ACH-000829
HUPT3	SRR8615669	ACH-000118
HUPT4	SRR8615668	ACH-000213
HUT102	SRR8615849	ACH-000612
HUT78	SRR8615850	ACH-000509
HUTU80	SRR8615847	ACH-000538
IALM	SRR8615848	ACH-000672
IGR1	SRR8615845	ACH-000882
IGR37	SRR8615846	ACH-000650
IGR39	SRR8615843	ACH-000550
IGROV1	SRR8615844	ACH-000966
IM95	SRR8615841	ACH-000919
IMR32	SRR8615842	ACH-000310
INA6	SRR8615492	ACH-000512
IOMMLEE	SRR8615491	ACH-000629
IPC298	SRR8615494	ACH-000915
ISHIKAWAHERAKLIO02ER	SRR8615493	ACH-000961
ISTMES1	SRR8615488	ACH-000569
ISTMES2	SRR8615487	ACH-000331
J82	SRR8615490	ACH-000396
JEKO1	SRR8615489	ACH-000357
JHESOAD1	SRR8615484	ACH-000216
JHH1	SRR8615483	ACH-000620
JHH2	SRR8615918	ACH-000577
JHH4	SRR8615919	ACH-000476
JHH5	SRR8615920	ACH-000734
JHH6	SRR8615921	ACH-000217
JHH7	SRR8615914	ACH-000848
JHOC5	SRR8615915	ACH-000324
